,0,1
0,age,0.05125462197413365
1,age_o,0.04530827979961941
2,d_age,0.04384549340679983
3,importance_same_race,0.04371495570476622
4,importance_same_religion,0.029479766494031934
5,pref_o_attractive,0.19625440818361506
6,pref_o_sincere,0.15474351087279328
7,pref_o_intelligence,0.13483887536538067
8,pref_o_funny,0.15969376242485572
9,pref_o_ambitious,0.13902359421675464
10,pref_o_shared_interests,0.19734733693884587
11,attractive_o,0.6184654154154747
12,sinsere_o,0.26241416707160636
13,intelligence_o,0.28599227688681095
14,funny_o,0.6958404339538237
15,attractive_important,0.1952989166439543
16,sincere_important,0.13817760816335173
17,intellicence_important,0.14074545779842043
18,funny_important,0.1576805777502798
19,ambtition_important,0.14295812717976078
20,shared_interests_important,0.1610679790856442
21,attractive,0.028283097477117124
22,sincere,0.024469083241218346
23,intelligence,0.03688120509287489
24,funny,0.02499010383362811
25,ambition,0.010989809727251653
26,attractive_partner,0.6300024923692733
27,sincere_partner,0.21217942406822055
28,intelligence_partner,0.2621078334930821
29,funny_partner,0.6752307310655123
30,sports,0.023632309761167574
31,tvsports,0.04159437170137825
32,exercise,0.03420926521231703
33,dining,0.027238530241841554
34,museums,0.00963591692932654
35,art,0.03575352991879533
36,hiking,0.032336130898480746
37,gaming,0.022049147172184973
38,clubbing,0.038286648894159836
39,reading,0.041885205294648585
40,tv,0.025578398916564042
41,theater,0.014226112945087516
42,movies,0.011410084387041084
43,concerts,0.04057668905275105
44,music,0.0345690434362006
45,shopping,0.024503228279860137
46,yoga,0.028577175408251432
47,interests_correlate,0.28374726899649877
48,expected_happy_with_sd_people,0.01881883460393496
49,like,0.9635366916411465
50,guess_prob_liked,0.4965608407069296
51,met,0.08842729602881684
52,gender,6.383965824070157e-05
53,d_d_age,0.02746214110307569
54,race,0.025319553124465478
55,race_o,0.028910563859269083
56,samerace,0.0023764028283118016
57,d_importance_same_race,0.020189742580322363
58,d_importance_same_religion,0.007753238426819233
59,d_pref_o_attractive,5.029607200817228e-06
60,d_pref_o_sincere,0.008043700368492761
61,d_pref_o_intelligence,0.009837964721545269
62,d_pref_o_funny,0.008137577992398866
63,d_pref_o_ambitious,0.001680319303878111
64,d_pref_o_shared_interests,0.015172325109400142
65,d_attractive_o,0.4205603094798098
66,d_sinsere_o,0.17550714737452533
67,d_intelligence_o,0.20348356851658594
68,d_funny_o,0.5421865604563164
69,d_ambitous_o,0.09620548239114374
70,d_shared_interests_o,0.4012802530661217
71,d_attractive_important,0.00028723716866484563
72,d_sincere_important,0.006725694006343231
73,d_intellicence_important,0.008717595254924992
74,d_funny_important,0.01699524600613646
75,d_ambtition_important,0.0017872716883284097
76,d_shared_interests_important,0.015459754740985612
77,d_attractive,0.01712232650937016
78,d_sincere,0.0020657330475041913
79,d_intelligence,0.030861962713116337
80,d_funny,0.026478291519778048
81,d_ambition,0.0012375790026132286
82,d_attractive_partner,0.4419852138510362
83,d_sincere_partner,0.17402544690202776
84,d_intelligence_partner,0.18350039100117826
85,d_funny_partner,0.5240718019211303
86,d_ambition_partner,0.09097073536825175
87,d_shared_interests_partner,0.4154563855216953
88,d_sports,0.001880713276997317
89,d_tvsports,0.004518435664723672
90,d_exercise,0.001962449024712672
91,d_dining,0.00823360066707968
92,d_museums,0.0026212069375023852
93,d_art,0.014824214848946981
94,d_hiking,0.008269089820964005
95,d_gaming,0.0009542930076347267
96,d_clubbing,0.020127077233381422
97,d_reading,0.021733121604789858
98,d_tv,0.0042946286002804816
99,d_theater,0.000832686605194307
100,d_movies,0.0035697109984440833
101,d_concerts,0.009356228960091927
102,d_music,0.010793744488584105
103,d_shopping,0.004571941844264529
104,d_yoga,0.011983000823944292
105,d_interests_correlate,0.004556602392670129
106,d_expected_happy_with_sd_people,0.01206708802011006
107,d_expected_happy_with_sd_people,0.01206708802011006
108,d_expected_num_interested_in_me,0.021296363985286643
109,d_expected_num_matches,0.08395694234070965
110,d_like,0.7177134151644767
111,d_guess_prob_liked,0.41512288683265075
112,d_pref_o_ambitious_1,0.0014509989608036946
113,d_pref_o_shared_interests_1,0.02589676549184656
114,d_attractive_o_1,0.49581270073075623
115,d_funny_o_1,0.5519170809580314
116,d_ambtition_important_1,0.0010745038045044046
117,d_shared_interests_important_1,0.031662639145708396
118,d_attractive_1,0.011739784631453157
119,d_sincere_1,0.005399084443718229
120,d_intelligence_1,0.013490299657422159
121,d_funny_1,0.0050961068601077745
122,d_attractive_partner_1,0.5115766594609008
123,d_sincere_partner_1,0.1438198970913915
124,d_intelligence_partner_1,0.16190880543327377
125,d_funny_partner_1,0.5114544992927716
126,d_tvsports_1,0.0031109187708469816
127,d_gaming_1,0.005541718766650219
128,d_tv_1,0.015347763625982301
129,d_movies_1,0.0018844529388719372
130,d_yoga_1,0.003907900131537056
131,d_like_1,0.6654122662084506
